,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
168,7,6,0.46,0.31,-1.17,0.357146196,-1.029610069,0.458334241,,456.50,0.642634,-0.442179924,,,,,192.08,0.19,-1.64,0.24,0.32,TL07_T03,23/05/2013,18:00:00,31/05/2013,00:24,8,7,174.40,,
168,7,6,0.51,0.33,-1.11,0.357146196,-1.029610069,0.458334241,,456.50,0.56702,-0.567360703,,,,,192.72,0.19,-1.68,0.24,0.27,TL07_T04,23/05/2013,18:00:00,31/05/2013,02:24,8,7,176.40,0.397,0.26
172.13,7.172222222,6.172222222,0.70,0.53,-0.64,0.385945126,-0.952060081,0.497717872,,504.00,0.604239,-0.503785464,,,,,192.98,0.14,-2.00,0.19,-,TL07_T05,23/05/2013,18:00:00,31/05/2013,04:24,8,7,178.40,,
172.37,7.181944444,6.181944444,0.67,0.45,-0.80,0.38763378,-0.94769425,0.500033992,,504.00,0.984494,-0.015627475,,,,,193.07,0.18,-1.71,0.27,0.32,TL07_T06,23/05/2013,18:00:00,31/05/2013,06:24,8,7,180.40,,
172.63,7.193055556,6.193055556,0.61,0.46,-0.78,0.389572093,-0.942706341,0.502693449,,431.00,1.11617,0.109903182,,,,,193.23,0.14,-1.95,-,0.23,TL08,23/05/2013,18:00:00,31/05/2013,10:00,8,7,184.00,,
172.93,7.205555556,6.205555556,0.84,0.57,-0.56,0.391763473,-0.937097008,0.5057013,,431.00,1.125,0.117783036,,,,,193.75,0.12,-2.10,0.18,0.23,TL09,23/05/2013,18:00:00,31/05/2013,11:00,8,7,186.13,,
173.15,7.214583333,6.214583333,0.61,0.40,-0.92,0.393353261,-0.933047188,0.507884191,,431.00,1.222875,0.201204644,,,,,195.82,0.18,-1.74,0.19,0.23,TL10,23/05/2013,18:00:00,31/05/2013,12:08,8,7,187.08,,
173.42,7.225694444,6.225694444,0.72,0.59,-0.53,0.395318158,-0.928064375,0.510583032,,431.00,1.315025,0.273855677,,,,,217.03,0.16,-1.83,0.19,0.22,TL11,23/05/2013,18:00:00,31/05/2013,13:05:00,8,7,188.15,,
174.17,7.256944444,6.256944444,0.55,0.42,-0.86,0.400893439,-0.914059624,0.518246212,,431.00,1.695587,0.528028994,,,,,216.65,0.16,-1.86,-,0.27,TL12,23/05/2013,18:00:00,31/05/2013,14:09:00,8,7,189.05,,0.356
174.72,7.279861111,6.279861111,0.56,0.37,-0.99,0.405028283,-0.90379838,0.523934623,,479.50,0.720553,-0.327736306,,,,,216.82,0.14,-1.94,-,0.21,TL13,23/05/2013,18:00:00,31/05/2013,15:03:00,8,7,190.10,0.49,
174.85,7.285416667,6.285416667,0.59,0.47,-0.76,0.40603661,-0.90131195,0.52532246,,479.50,0.839633,-0.174790387,,,,,217.05,0.11,-2.20,-,0.19,TL14,23/05/2013,18:00:00,31/05/2013,16:06,8,7,191.00,,
